"annotation_id","annotator","created_at","id","image","label","lead_time","updated_at"
41,"1","2024-10-03T19:05:51.480895Z",39,"http://localhost:8081/GB.403328.A-003.png","[{""x"":21.25999999999998,""y"":15.337298578199048,""width"":18.82999999999999,""height"":51.30270142180095,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":21.67503188812826,""y"":73.14999999999979,""width"":17.834968111871717,""height"":9.059999999999995,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":58.45325756245959,""y"":15.70033175355445,""width"":21.571710549412035,""height"":51.0596682464453,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508}]",62.47,"2024-10-03T19:05:51.480932Z"
42,"1","2024-10-03T19:06:13.386538Z",40,"http://localhost:8081/GB.404713.A-006.png","[{""x"":21.6,""y"":13.43,""width"":71.84,""height"":70.7,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2653,""original_height"":3553}]",21.23,"2024-10-03T19:06:13.386573Z"
43,"1","2024-10-03T19:06:39.107776Z",41,"http://localhost:8081/GB.404713.A-007.png","[{""x"":7.352192967058683,""y"":13.516398104265418,""width"":70.9159689310162,""height"":73.17327014218007,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508}]",25.134,"2024-10-03T19:06:39.107812Z"
44,"1","2024-10-03T19:06:47.954952Z",42,"http://localhost:8081/GB.404713.A-008.png","[{""x"":22.01,""y"":5.24,""width"":58.2,""height"":54.88,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2653,""original_height"":3553}]",8.167,"2024-10-03T19:06:47.955028Z"
45,"1","2024-10-03T19:07:32.914783Z",43,"http://localhost:8081/GB.404713.A-009.png","[{""x"":20.29,""y"":20.78000000000001,""width"":74.79851676320871,""height"":61.62999999999998,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":23.46,""y"":21.29,""width"":15.32,""height"":8.44,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":45.22,""y"":21.32,""width"":11.07,""height"":8.35,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508}]",44.322,"2024-10-03T19:07:32.914835Z"
46,"1","2024-10-03T19:07:59.493867Z",44,"http://localhost:8081/GB.404713.A-010.png","[{""x"":6.78,""y"":20.86,""width"":73.54,""height"":63.27,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2653,""original_height"":3553}]",25.754,"2024-10-03T19:07:59.493923Z"
47,"1","2024-10-03T19:08:25.394766Z",45,"http://localhost:8081/GB.404713.A-011.png","[{""x"":27.779999999999973,""y"":3.539099526066351,""width"":52.11999999999999,""height"":58.81090047393366,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":30.29,""y"":54.02,""width"":6.98,""height"":7.01,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":30.25,""y"":46.29,""width"":7.02,""height"":5.02,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":46.26,""y"":14.4,""width"":1.97,""height"":1.8,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508}]",25.165,"2024-10-03T19:08:25.394808Z"
48,"1","2024-10-03T20:29:51.605057Z",46,"http://localhost:8081/GB.404713.A-012.png","[{""x"":21.11,""y"":14.89,""width"":71.09,""height"":69.58,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2653,""original_height"":3553}]",17.641,"2024-10-03T20:29:51.605081Z"
49,"1","2024-10-03T20:30:13.786477Z",47,"http://localhost:8081/GB.404713.A-013.png","[{""x"":8.27183810192499,""y"":15.680000000000005,""width"":73.86816189807502,""height"":71.47000000000006,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508}]",21.779,"2024-10-03T20:30:13.786502Z"
50,"1","2024-10-03T20:30:46.508862Z",48,"http://localhost:8081/GB.404713.A-014.png","[{""x"":22.879999999999992,""y"":3.319757031024074,""width"":59.102129190802145,""height"":57.45024296897583,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508}]",32.32,"2024-10-03T20:30:46.508884Z"
51,"1","2024-10-03T20:31:34.783693Z",49,"http://localhost:8081/GB.409532.A-003.png","[{""x"":23.69,""y"":14.85,""width"":47.11,""height"":25.2,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":37.49999999999964,""y"":41.10999999999987,""width"":26.619999999999735,""height"":19.037188401458504,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":28.9,""y"":59.61,""width"":40.01,""height"":10.29,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":30.79,""y"":70.38,""width"":35.49,""height"":7.64,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":68.48,""y"":16.73,""width"":13.62,""height"":18.53,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":69.06,""y"":43.36,""width"":8.72,""height"":15.94,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":68.44,""y"":61.32,""width"":10.53,""height"":6.56,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508}]",47.815,"2024-10-03T20:31:34.783720Z"
52,"1","2024-10-03T20:31:58.283274Z",50,"http://localhost:8081/GB.410729.A-003.png","[{""x"":56.06,""y"":27.34,""width"":19.56,""height"":14.68,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":52.28,""y"":49.37,""width"":25.93,""height"":9.72,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":21.37,""y"":27.94,""width"":17.17,""height"":12.26,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":20.99,""y"":49.46,""width"":18.06,""height"":11.06,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508}]",23.085,"2024-10-03T20:31:58.283299Z"
53,"1","2024-10-04T10:18:21.631485Z",51,"http://localhost:8081/GB.411884.A-013.png","[{""x"":19.94999999999999,""y"":12.689999999999987,""width"":73.81036338225017,""height"":39.76999999999999,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":71.44999999999996,""y"":42.729999999999905,""width"":22.127965125952574,""height"":40.959999999999944,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":33.91,""y"":58.52,""width"":30.94,""height"":22.23,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508}]",28.362,"2024-10-04T10:18:21.631501Z"
54,"1","2024-10-04T10:18:49.955759Z",52,"http://localhost:8081/GB.411884.A-014.png","[{""x"":7.41443313034508,""y"":45.97999999999999,""width"":74.02556686965495,""height"":41.87999999999997,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":7.414433130345081,""y"":17.16091644204852,""width"":18.78556686965491,""height"":38.50908355795145,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508}]",27.892,"2024-10-04T10:18:49.955775Z"
55,"1","2024-10-04T10:19:13.059296Z",53,"http://localhost:8081/GB.411884.A-015.png","[{""x"":44.83,""y"":4.42,""width"":39.31,""height"":41.68,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":17.05,""y"":33.72,""width"":37.5,""height"":39.11,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":60.34,""y"":49.29,""width"":21.26,""height"":15.94,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508}]",22.697,"2024-10-04T10:19:13.059312Z"
56,"1","2024-10-04T10:20:00.096961Z",54,"http://localhost:8081/GB.411884.A-016.png","[{""x"":31.559999999999988,""y"":39.25000000000002,""width"":53.969999999999985,""height"":45.50339622641509,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":22.38,""y"":12.69,""width"":39.47,""height"":22.75,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":59.45000000000004,""y"":13.229999999999977,""width"":35.437965125952516,""height"":27.590646900269533,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508}]",46.59,"2024-10-04T10:20:00.096983Z"
57,"1","2024-10-04T10:20:17.397003Z",55,"http://localhost:8081/GB.411884.A-017.png","[{""x"":7.232034874047452,""y"":16.31000000000001,""width"":73.89796512595242,""height"":45.51999999999998,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":21.99,""y"":65.65,""width"":43.98,""height"":21.04,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508}]",16.889,"2024-10-04T10:20:17.397021Z"
58,"1","2024-10-04T10:20:43.113124Z",56,"http://localhost:8081/GB.411884.A-018.png","[{""x"":16.82,""y"":4.99,""width"":42.94,""height"":47.46,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":41.19999999999999,""y"":38.62999999999998,""width"":43.16199128148813,""height"":28.279999999999994,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":63.19,""y"":13,""width"":19.91,""height"":23,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":16.44,""y"":51.11,""width"":21.33,""height"":20.58,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508}]",25.266,"2024-10-04T10:20:43.113160Z"
59,"1","2024-10-04T10:21:13.983750Z",57,"http://localhost:8081/GB.411884.A-019.png","[{""x"":17.169999999999984,""y"":32.38000000000002,""width"":77.87036338225018,""height"":42.83999999999997,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508}]",30.45,"2024-10-04T10:21:13.983766Z"
60,"1","2024-10-04T10:21:37.774683Z",58,"http://localhost:8081/GB.411884.A-020.png","[{""x"":7.41443313034508,""y"":22.379999999999967,""width"":75.84556686965492,""height"":61.08999999999997,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508}]",23.348,"2024-10-04T10:21:37.774703Z"
61,"1","2024-10-04T10:22:52.279274Z",59,"http://localhost:8081/GB.411884.A-021.png","[{""x"":22.68999999999996,""y"":3.8756873315363842,""width"":57.98999999999994,""height"":30.391671159029677,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":35.42937339869011,""y"":31.805929919137498,""width"":40.88224102339184,""height"":42.3180592991914,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508}]",74.085,"2024-10-04T10:22:52.279292Z"
62,"1","2024-10-04T10:23:39.998207Z",60,"http://localhost:8081/GB.411884.A-022.png","[{""x"":24.5,""y"":13.37,""width"":54.44,""height"":44.13,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":22.69,""y"":65.94,""width"":29.82,""height"":15.65,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":52.62,""y"":66.19,""width"":23.61,""height"":16.96,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":72.88000000000002,""y"":57.10000000000003,""width"":20.515566869654904,""height"":11.059999999999999,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":86.83999999999999,""y"":19.63999999999999,""width"":6.653001249991231,""height"":21.83999999999998,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508}]",47.287,"2024-10-04T10:23:39.998223Z"
63,"1","2024-10-04T10:24:58.499848Z",61,"http://localhost:8081/GB.411884.A-023.png","[{""x"":8.129636617749826,""y"":46.919999999999995,""width"":71.38036338225014,""height"":40.539999999999964,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":17.790000000000006,""y"":20.771046357032,""width"":26.809999999999995,""height"":23.518953642967986,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":49.54,""y"":22.63,""width"":29.51,""height"":21.72,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508}]",67.119,"2024-10-04T10:24:58.499867Z"
64,"1","2024-10-04T10:25:48.879622Z",62,"http://localhost:8081/GB.411884.A-024.png","[{""x"":45.52,""y"":5.1,""width"":38.27,""height"":39.94,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":17.28,""y"":41.9,""width"":42.13,""height"":28.45,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":22.61,""y"":5.76,""width"":20.6,""height"":15.59,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":21.3,""y"":23.8,""width"":22.22,""height"":14.2,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":66.78,""y"":55.36,""width"":14.89,""height"":15.59,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":66.78,""y"":43.04,""width"":16.24,""height"":12.34,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508}]",28.768,"2024-10-04T10:25:48.879638Z"
65,"1","2024-10-04T10:26:35.764246Z",63,"http://localhost:8081/GB.411884.A-025.png","[{""x"":17.59,""y"":14.65,""width"":63.08,""height"":48.18,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":25.46,""y"":66.16,""width"":27.28,""height"":18.24,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":51.58,""y"":64.77,""width"":22.34,""height"":19.78,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508}]",46.464,"2024-10-04T10:26:35.764264Z"
66,"1","2024-10-04T10:27:12.269936Z",64,"http://localhost:8081/GB.411884.A-026.png","[{""x"":21.94,""y"":13.23,""width"":59.71,""height"":27.61,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2653,""original_height"":3553},{""x"":23.22,""y"":43.23,""width"":56.99,""height"":20.71,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2653,""original_height"":3553},{""x"":55.48,""y"":64.67999999999998,""width"":26.667846033021668,""height"":21.78,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2653,""original_height"":3553},{""x"":6.71,""y"":30.14,""width"":5.5,""height"":33.97,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2653,""original_height"":3553}]",36.098,"2024-10-04T10:27:12.269952Z"
67,"1","2024-10-04T10:28:20.624620Z",65,"http://localhost:8081/GB.411884.A-027.png","[{""x"":18.399999999999945,""y"":40.87999999999991,""width"":44.334417934624724,""height"":33.039999999999814,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":14.55040697480949,""y"":3.756603773584906,""width"":26.149593025190494,""height"":31.873396226415085,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":42.9,""y"":4.7,""width"":19.91,""height"":30.39,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":67.20915986060187,""y"":44.52999999999973,""width"":16.74084013939755,""height"":25.36999999999976,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":63.790770357059564,""y"":3.8913746630727797,""width"":20.67642441183331,""height"":13.948625336927226,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508}]",67.805,"2024-10-04T10:28:20.624647Z"
68,"1","2024-10-04T10:28:50.573718Z",66,"http://localhost:8081/GB.411884.A-028.png","[{""x"":19.15,""y"":47.71,""width"":57.22,""height"":32.59,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2653,""original_height"":3553},{""x"":22.13,""y"":10.98,""width"":50.77,""height"":24.4,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2653,""original_height"":3553},{""x"":37.05000000000001,""y"":34.162479784366575,""width"":37.24,""height"":13.157520215633406,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2653,""original_height"":3553}]",29.545,"2024-10-04T10:28:50.573734Z"
69,"1","2024-10-04T10:29:46.732420Z",67,"http://localhost:8081/GB.411884.A-029.png","[{""x"":42.13,""y"":56.5,""width"":34.88,""height"":21.01,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":37.80999999999996,""y"":12.030000000000014,""width"":57.26036338225011,""height"":39.82719676549863,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":77.65754550583885,""y"":54.17789757412399,""width"":17.371946025225018,""height"":23.045822102425845,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508}]",55.74,"2024-10-04T10:29:46.732449Z"
70,"1","2024-10-04T10:30:37.206174Z",68,"http://localhost:8081/GB.411884.A-030.png","[{""x"":7.232034874047446,""y"":15.41999999999999,""width"":36.48456390802302,""height"":39.549299191374594,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":9.119912814881372,""y"":42.45283018867924,""width"":54.5370786329906,""height"":45.01347708894879,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508}]",49.963,"2024-10-04T10:30:37.206190Z"
71,"1","2024-10-04T10:31:31.131550Z",69,"http://localhost:8081/GB.411884.A-031.png","[{""x"":16.239999999999974,""y"":24.34683467631695,""width"":37.48560490391976,""height"":38.87316532368309,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":57.95,""y"":42.39,""width"":20.25,""height"":19.95,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":41.38562990374414,""y"":13.878060190238587,""width"":42.20786096143445,""height"":28.351501920814236,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508}]",53.531,"2024-10-04T10:31:31.131577Z"
72,"1","2024-10-04T10:32:16.567911Z",70,"http://localhost:8081/GB.411884.A-032.png","[{""x"":17.04,""y"":19,""width"":75.31,""height"":20.18,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2653,""original_height"":3553},{""x"":16.619999999999962,""y"":41.76156334231807,""width"":76.09999999999988,""height"":14.74843665768196,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2653,""original_height"":3553},{""x"":51.31392301651081,""y"":60.2899999999999,""width"":41.75607698348919,""height"":12.889999999999988,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2653,""original_height"":3553},{""x"":30.27,""y"":59.5,""width"":19.86,""height"":12.05,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2653,""original_height"":3553},{""x"":16.850000000000005,""y"":62.13633423180593,""width"":11.151173212850624,""height"":7.753665768194123,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2653,""original_height"":3553}]",45.069,"2024-10-04T10:32:16.567928Z"
73,"1","2024-10-04T10:40:02.969732Z",71,"http://localhost:8081/GB.411884.A-033.png","[{""x"":28.390232604572198,""y"":33.414878706199445,""width"":55.139767395427796,""height"":49.57512129380054,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":39.430000000000035,""y"":21.20495956873313,""width"":28.049999999999986,""height"":10.707331536388127,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":57.29,""y"":60.83,""width"":25.77,""height"":12.26,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":7.232034874047449,""y"":45.28202156334227,""width"":20.697965125952543,""height"":12.961374663072785,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":7.232034874047439,""y"":65.47568733153624,""width"":17.935973844464417,""height"":8.271832884097032,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":7.295930251905097,""y"":26.819407008086237,""width"":25.170959369072587,""height"":12.8032345013477,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508}]",107.125,"2024-10-04T10:40:02.969767Z"
74,"1","2024-10-04T10:42:29.926911Z",72,"http://localhost:8081/GB.411884.A-034.png","[{""x"":22.799999999999994,""y"":3.6774892719941845,""width"":56.86999999999999,""height"":28.90738943420528,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":42.40000000000001,""y"":32.870000000000005,""width"":16.200000000000003,""height"":41.296276820014555,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":64.02853913461072,""y"":34.146276820014506,""width"":8.057729182703383,""height"":21.874935631965087,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":22.29556686965487,""y"":13.973570666284974,""width"":9.197725902624784,""height"":11.676395937198455,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":61.34,""y"":56.44,""width"":11.65,""height"":10.72,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":64.0906986298312,""y"":68.30183641098964,""width"":7.239301370168278,""height"":5.845411695071715,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":22.748392596097787,""y"":30.70820210791566,""width"":19.04835283649147,""height"":43.43855115724749,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":59.20063615370016,""y"":3.8755306471451254,""width"":10.277888221128457,""height"":12.454409772357694,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508}]",146.482,"2024-10-04T10:42:29.926942Z"
75,"1","2024-10-04T10:43:54.611627Z",73,"http://localhost:8081/GB.411963.A-004.png","[{""x"":30.7639825629763,""y"":15.088625336927237,""width"":57.46244184885685,""height"":38.61137466307274,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":31.205566869654877,""y"":57.85293800539081,""width"":33.44447672290442,""height"":23.92366576819407,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":31.229345423151837,""y"":83.0767924528303,""width"":33.095500662045886,""height"":1.83026954177895,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508}]",84.217,"2024-10-04T10:43:54.611664Z"
76,"1","2024-10-04T10:44:31.539834Z",74,"http://localhost:8081/GB.411963.A-005.png","[{""x"":28.22735565595774,""y"":16.72871614583519,""width"":36.04332717982887,""height"":38.32128385416462,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2653,""original_height"":3553},{""x"":7.5,""y"":17.619999999999962,""width"":11.943625098169901,""height"":38.9,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2653,""original_height"":3553}]",36.493,"2024-10-04T10:44:31.539871Z"
77,"1","2024-10-04T10:45:33.920658Z",75,"http://localhost:8081/GB.411963.A-006.png","[{""x"":18.17,""y"":35.4,""width"":37.23,""height"":32.41,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":17.09,""y"":10.8,""width"":37.27,""height"":22.81,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":59.3790595994881,""y"":49.204145689330915,""width"":22.603526501919806,""height"":17.272754978370646,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":82.92884332964347,""y"":49.396540866770536,""width"":1.9655820653752951,""height"":17.082217682342925,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508}]",61.943,"2024-10-04T10:45:33.920682Z"
78,"1","2024-10-04T10:46:16.428792Z",76,"http://localhost:8081/GB.411963.A-007.png","[{""x"":35.34995640744072,""y"":47.9929380053908,""width"":49.950043592559275,""height"":38.43431266846364,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":25.87877907557152,""y"":10.984312668463593,""width"":40.45203487404746,""height"":35.05568733153637,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":80.94000000000003,""y"":14.71,""width"":14.090363382250148,""height"":33.58,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508}]",42.047,"2024-10-04T10:46:16.428820Z"
79,"1","2024-10-04T10:46:38.132175Z",77,"http://localhost:8081/GB.411963.A-008.png","[{""x"":12.46,""y"":15.48,""width"":27.08,""height"":35.83,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":58.91,""y"":15.36,""width"":18.67,""height"":37.29,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":44.480000000000004,""y"":15.109999999999985,""width"":5.159229642940337,""height"":37.489999999999974,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":7.596831386642708,""y"":57.94999999999993,""width"":8.953168613357306,""height"":21.149999999999984,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508}]",21.277,"2024-10-04T10:46:38.132198Z"
80,"1","2024-10-04T10:46:56.645134Z",78,"http://localhost:8081/GB.411963.A-009.png","[{""x"":47.99,""y"":38.74,""width"":35.92,""height"":28.45,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":14.47,""y"":47.83,""width"":33.02,""height"":23.09,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":15.66,""y"":27,""width"":33.95,""height"":14.25,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":15.43,""y"":7.13,""width"":35.19,""height"":10.03,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508},{""x"":14.469999999999903,""y"":21.89356025826377,""width"":36.22999999999981,""height"":2.6164397417360763,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2592,""original_height"":3508}]",18.045,"2024-10-04T10:46:56.645171Z"
81,"1","2024-10-04T10:47:11.352773Z",79,"http://localhost:8081/GB.416289.A-003.png","[{""x"":32.11,""y"":8.84,""width"":23.75,""height"":50.69,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2653,""original_height"":3553},{""x"":33.09,""y"":66.76,""width"":26.84,""height"":13.23,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2653,""original_height"":3553}]",14.262,"2024-10-04T10:47:11.352813Z"
82,"1","2024-10-04T10:47:28.260042Z",80,"http://localhost:8081/GB.418200.A-004.png","[{""x"":34.56,""y"":9.34,""width"":58.88,""height"":74.81,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2653,""original_height"":3553}]",16.469,"2024-10-04T10:47:28.260076Z"
83,"1","2024-10-04T10:47:40.228552Z",81,"http://localhost:8081/GB.418200.A-005.png","[{""x"":6.67,""y"":14.89,""width"":57.11,""height"":74.87,""rotation"":0,""rectanglelabels"":[""contour""],""original_width"":2653,""original_height"":3553}]",11.523,"2024-10-04T10:47:40.228581Z"
